What did I eat in X

Select r.food_type
from travel_dining-log.csv
where city == X

what are the most common foods I eat when I travel?

Select TOP(n)
from travel_dining-log.csv
group_by food_type
order_by count(dining_date)

what are the most common foods I eat when I'm in Y?

Select TOP(n)
from travel_dining-log.csv as r
where r.city == Y
group_by food_type
order_by count(dining_date)

what did I eat on the day that I visited X

select r.food_type
from travel_dining-log.csv as r, travel_places_visited-log.csv as s
where  s.place == X AND r.dining_date == s.place_visit_date



start_date,end_date,city,dining_date,food_type,food_location,place_visit_date,place,people,action,emotion
2022-05-19 00:00:00,2022-05-25 00:00:00,"Bangkok, Thailand",2022-05-23 00:00:00,street food,Victory Monument,2022/05/24,National Museum & Wang Na Palace,"parents, friends, family",took a selfie,happy
2022-05-19 00:00:00,2022-05-25 00:00:00,"Bangkok, Thailand",2022-05-24 00:00:00,dining,Ratchawat Market,2022/05/24,National Museum & Wang Na Palace,"parents, friends, family",took a selfie,happy
2022-05-19 00:00:00,2022-05-25 00:00:00,"Bangkok, Thailand",2022-05-25 00:00:00,dining,Yaowarat,2022/05/24,National Museum & Wang Na Palace,"parents, friends, family",took a selfie,happy
2022-07-22 00:00:00,2022-07-29 00:00:00,"Barcelona, Spain",2022-07-23 00:00:00,local food,Pizza Market,,,,,
2022-07-22 00:00:00,2022-07-29 00:00:00,"Barcelona, Spain",2022-07-24 00:00:00,local food,Pizza Market,,,,,
2022-07-22 00:00:00,2022-07-29 00:00:00,"Barcelona, Spain",2022-07-25 00:00:00,local food,Bar Bo de B,,,,,
2022-07-22 00:00:00,2022-07-29 00:00:00,"Barcelona, Spain",2022-07-26 00:00:00,local food,Pizza Market,,,,,
2022-07-22 00:00:00,2022-07-29 00:00:00,"Barcelona, Spain",2022-07-27 00:00:00,local food,Pizza Del Born,,,,,
2022-07-22 00:00:00,2022-07-29 00:00:00,"Barcelona, Spain",2022-07-28 00:00:00,street food,Ciutat Comtal,,,,,
2022-07-22 00:00:00,2022-07-29 00:00:00,"Barcelona, Spain",2022-07-29 00:00:00,street food,Maoz,,,,,
